X,Y,objectid,arc_,streetcl_,streetcl_i,node_id,int_id,update_,intersecti,x_coord,y_coord
-8367362.77090614,4860134.44938678,1,,,,29152,29152,2006/11/02 00:00:00+00,N 16TH ST & CALLOWHILL ST,,
-8367186.40758111,4860105.88174047,2,,,,29150,29150,2006/11/02 00:00:00+00,N 15TH ST & CALLOWHILL ST,,
-8367152.1277318,4860318.43505193,3,,,,29148,29148,2013/02/28 00:00:00+00,N 15TH ST & HAMILTON ST,,
-8367537.68253741,4860162.64598102,4,,,,29025,29025,2006/05/03 00:00:00+00,N 17TH ST & CALLOWHILL ST,,
-8367546.65408449,4860104.24549954,5,,,,29021,29021,2006/05/03 00:00:00+00,N 17TH ST & CARLTON ST,,
-8367371.51095643,4860074.62757367,6,,,,29022,29022,2006/05/03 00:00:00+00,N 16TH ST & CARLTON ST,,
-8367662.88208883,4860183.28871033,7,,,,29023,29023,2006/04/12 00:00:00+00,CALLOWHILL ST & FRANKLIN TOWN BLVD,,
-8367711.59133527,4860190.72485376,8,,,,20115,20115,,N 18TH ST & CALLOWHILL ST,,
-8367800.47301735,4860734.2123495,9,,,,19609,19609,,N 19TH ST & BRANDYWINE ST,,
-8367808.35894192,4860697.2381992,10,,,,19657,19657,,N 19TH ST & MONTEREY ST,,
-8367469.14493947,4860566.96189577,11,,,,19780,19780,,N 17TH ST & SPRING GARDEN ST,,
-8367819.9547542,4860623.86580541,12,,,,19741,19741,,N 19TH ST & SPRING GARDEN ST,,
-8367644.85121358,4860596.3915139,13,,,,19761,19761,,N 18TH ST & SPRING GARDEN ST,,
-8367836.2565668,4860519.49257306,14,,,,19848,19848,,N 19TH ST & BUTTONWOOD ST,,
-8367853.19714759,4860432.18659127,15,,,,19921,19921,,N 19TH ST & HAMILTON ST,,
-8367829.79101494,4860563.7636365,16,,,,19798,19798,,N 19TH ST & NECTARINE ST,,
-8367627.95188406,4860703.51485287,17,,,,19641,19641,,N 18TH ST & BRANDYWINE ST,,
-8367794.95033574,4860774.32697052,18,,,,19561,19561,,N 19TH ST & WILCOX ST,,
-8367969.16890278,4860804.15869261,19,,,,19533,19533,,N 20TH ST & WILCOX ST,,
-8367983.77256118,4860724.04008489,20,,,,19626,19626,,N 20TH ST & MONTEREY ST,,
-8367996.0933896,4860651.7836259,21,,,,19720,19720,,N 20TH ST & SPRING GARDEN ST,,
-8368004.95916265,4860592.71281798,22,,,,19774,19774,,N 20TH ST & NECTARINE ST,,
-8367975.64019161,4860764.32725726,23,,,,19578,19578,,N 20TH ST & BRANDYWINE ST,,
-8368330.9737764,4861028.2807518,24,,,,19319,19319,,N 22ND ST & MOUNT VERNON ST,,
-8368152.88903261,4860998.37827926,25,,,,19348,19348,,N 21ST ST & MOUNT VERNON ST,,
-8367944.67509147,4860954.7294865,26,,,,19382,19382,,N 20TH ST & MOUNT VERNON ST,,
-8367770.61856821,4860926.10951366,27,,,,19409,19409,,N 19TH ST & MOUNT VERNON ST,,
-8368349.5925334,4860918.72178153,28,,,,19432,19432,,N 22ND ST & GREEN ST,,
-8368171.44371388,4860890.64531329,29,,,,19456,19456,,N 21ST ST & GREEN ST,,
-8367962.18658493,4860855.23809947,30,,,,19486,19486,,N 20TH ST & GREEN ST,,
-8367786.51111927,4860827.1118994,31,,,,19504,19504,,N 19TH ST & GREEN ST,,
-8368181.14913519,4860839.39585309,32,,,,19503,19503,,N 21ST ST & WILCOX ST,,
-8368357.67167916,4860868.19098166,33,,,,19484,19484,,N 22ND ST & WILCOX ST,,
-8368364.73987918,4860827.35451393,34,,,,19517,19517,,N 22ND ST & BRANDYWINE ST,,
-8368187.74248412,4860797.26070846,35,,,,19547,19547,,N 21ST ST & BRANDYWINE ST,,
-8368338.74131048,4860978.98745162,36,,,,19367,19367,,N 22ND ST & CLAY ST,,
-8368206.19842565,4860685.83008903,37,,,,19687,19687,,N 21ST ST & SPRING GARDEN ST,,
-8368154.17978546,4860989.17083511,38,,,,19356,19348,,N 21ST ST & MOUNT VERNON ST,,
-8368162.25678394,4860949.86736847,39,,,,19396,19396,,N 21ST ST & CLAY ST,,
-8367014.28607394,4862217.77775865,40,,,,17803,17803,,N 16TH ST & INGERSOLL ST,,
-8366840.26740934,4862188.17703411,41,,,,17841,17841,,N 15TH ST & INGERSOLL ST,,
-8367042.27148187,4862048.74759769,42,,,,18037,18037,,N 16TH ST & W CABOT ST,,
-8366868.17384037,4862020.41932572,43,,,,18073,18073,,N 15TH ST & W CABOT ST,,
-8366999.89278837,4862296.81333826,44,,,,17699,17699,,N 16TH ST & MASTER ST,,
-8366911.94293363,4862282.71408891,45,,,,17718,17718,,MASTER ST & N SYDENHAM ST,,
-8366824.02334774,4862267.53265105,46,,,,17741,17741,,N 15TH ST & MASTER ST,,
-8366746.46462016,4862253.35770497,47,,,,17758,17758,,N CARLISLE ST & MASTER ST,,
-8367022.66991074,4862169.66879302,48,,,,17875,17875,,N 16TH ST & SEYBERT ST,,
-8366847.1922417,4862140.76250171,49,,,,17904,17904,,N 15TH ST & SEYBERT ST,,
-8366858.17957744,4862082.13169483,50,,,,17984,17984,,N 15TH ST & W THOMPSON ST,,
-8367032.05221995,4862112.68431358,51,,,,17946,17946,,N 16TH ST & W THOMPSON ST,,
-8366778.62096795,4862069.93841199,52,,,,18000,18000,,N CARLISLE ST & W THOMPSON ST,,
-8366805.47793664,4862074.17484508,53,,,,17992,17992,,BURNS ST & W THOMPSON ST,,
-8366762.023901,4862066.63731057,54,,,,18003,18000,,N CARLISLE ST & W THOMPSON ST,,
-8366782.16304931,4861946.82187586,55,,,,18161,18161,,N CARLISLE ST & W STILES ST,,
-8366826.36743704,4861954.05191171,56,,,,18151,18151,,BURNS ST & W STILES ST,,
-8366877.11163643,4861962.75065559,57,,,,18143,18143,,N 15TH ST & W STILES ST,,
-8366886.86242399,4861910.02718955,58,,,,18214,18214,,N 15TH ST & W FLORA ST,,
-8366898.22000993,4861829.57222041,59,,,,18324,18324,,N 15TH ST & W GIRARD AVE,,
-8366805.13033053,4861814.07261817,60,,,,18340,18340,,N CARLISLE ST & W GIRARD AVE,,
-8366914.48507123,4861731.72233729,61,,,,18444,18444,,N 15TH ST & CAMBRIDGE ST,,
-8367052.23298978,4861991.61866643,62,,,,18117,18117,,N 16TH ST & W STILES ST,,
-8367061.4177983,4861939.68697194,63,,,,18183,18183,,N 16TH ST & W FLORA ST,,
-8367074.12738965,4861857.96506304,64,,,,18281,18281,,N 16TH ST & W GIRARD AVE,,
-8367090.38299468,4861760.86222548,65,,,,18420,18420,,N 16TH ST & CAMBRIDGE ST,,
-8366821.55138496,4861717.11091734,66,,,,18459,18459,,CAMBRIDGE ST & N CARLISLE ST,,
-8367206.39012561,4862141.9267086,67,,,,17915,17915,,N 17TH ST & W THOMPSON ST,,
-8367217.31961852,4862079.21241122,68,,,,18006,18006,,N 17TH ST & W CABOT ST,,
-8367226.1339232,4862022.14615929,69,,,,18085,18085,,N 17TH ST & W STILES ST,,
-8367234.27062583,4861969.38825501,70,,,,18147,18147,,N 17TH ST & W FLORA ST,,
-8367249.47679364,4861887.33736772,71,,,,18256,18256,,N 17TH ST & W GIRARD AVE,,
